Username,Machine,Status,LastSeen,AssemblyVersion
svcLFWarehouse1,L5084B6D902929,Active,2026-04-10 00:13:03,2.0.2.1
Fusion Octane,WORKSHOP,Active,2026-05-16 21:50:14,2.0.1.0
svcLFWarehouse1,L5084D6E89737C,Active,2026-04-17 17:31:31,2.0.0.0
svcLFWarehouse1,L5084B6D667DA9,Active,2026-04-09 10:48:34,2.0.2.2
BXR6053,L5084E01BDE502,Active,2026-04-07 08:25:11,2.0.2.2
bxr6053,L5084B6D94E951,Active,2026-04-07 11:07:07,2.0.2.2
svcLFWarehouse1,L5084B6D8E90DE,Active,2026-04-23 12:26:09,2.0.2.1
LEP2277,L5084B6D667DA9,Active,2026-04-09 16:48:01,2.0.2.2
TCR6447,L5084E01C5EEFC,Active,2026-04-07 18:03:53,2.0.2.2
svcLFWarehouse1,L5084D6E8973C6,Active,2026-04-07 18:14:02,2.0.2.1
svcLFWarehouse1,L5084B6D902DF5,Active,2026-04-09 02:49:17,2.0.2.1
svcLFWarehouse1,L5084B6D90282B,Active,2026-04-08 00:06:29,2.0.2.1
svcLFWarehouse1,L5084B6D902F42,Active,2026-04-08 00:10:34,2.0.2.1
svcLFWarehouse1,L5084E43A01517,Active,2026-04-08 01:40:38,2.0.2.1
svcLFWarehouse1,L508460CA7C249,Active,2026-04-12 17:31:57,2.0.2.2
svcLFWarehouse1,L5084B6D8DFD2B,Active,2026-04-08 17:25:33,2.0.2.1
GLIBUR9,L5084E01C5EEFC,Active,2026-04-09 18:40:35,2.0.2.2
mek4ubi,L5084B6D3FA513,Active,2026-04-09 23:41:58,2.0.2.1
LEP2277,L5084F83CF5F16,Active,2026-04-09 01:43:48,2.0.2.2
svcLFWarehouse1,L5084B6D8DFD44,Active,2026-04-09 02:38:27,2.0.2.1
svcLFWarehouse1,L50841A105C69F,Active,2026-04-09 17:26:09,2.0.2.1
svcLFWarehouse1,L5084B6D8EA920,Active,2026-04-09 21:33:56,2.0.2.1
RDR6AAK,L5084B6D8E9DE3,Active,2026-05-16 10:49:32
svcLFWarehouse1,L508460CA7BD80,Active,2026-04-10 08:46:47,2.0.2.1
svcLFWarehouse1,L50841A1063355,Active,2026-04-17 10:36:09,2.0.0.0
KRS16ZD,L5084B6D3F99DD,Active,2026-04-11 13:54:55
svcLFWarehouse1,L508460CA7C4CC,Active,2026-05-01 10:39:16,2.0.0.0
VXE3079,L508460CA84665,Active,2026-05-13 09:16:51,2.0.2.2
VXE3079,L5084B6D3F99DD,Active,2026-05-13 08:19:16,2.0.2.0
svcLFWarehouse1,L5084B6D4695AA,Active,2026-04-14 02:31:58,2.0.2.1
AMC3754,L5084E01C5EEFC,Active,2026-04-16 12:22:17
BXR6053,L5084F83CF2A98,Active,2026-05-12 18:59:04,2.0.1.0
SML2772,L5084E01BABC01,Active,2026-06-28 16:26:43
TCR6447,L5084E01BABCF8,Active,2026-05-18 16:43:27,2.0.0.0
TXC4537,L508460CA84665,Active,2026-07-08 17:43:59,2.0.0.0
